timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752961659750,418,Login Request,200,OK,Moderate Load Test 1-1,text,true,,1428,242,1,1,http://localhost:8080/api/auth/signin,418,0,2
1752961660168,291,Get All Events,200,OK,Moderate Load Test 1-1,text,true,,2825,392,1,1,http://localhost:8080/api/events,291,0,0
1752961660460,95,Get User Info,200,OK,Moderate Load Test 1-1,text,true,,1210,393,1,1,http://localhost:8080/api/auth/me,95,0,0
1752961660555,299,Get My Bookings,200,OK,Moderate Load Test 1-1,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,299,0,0
1752961660854,400,Get Event Details By ID,200,OK,Moderate Load Test 1-1,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,400,0,0
1752961660950,405,Login Request,200,OK,Moderate Load Test 1-2,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,405,0,1
1752961661356,97,Get All Events,200,OK,Moderate Load Test 1-2,text,true,,2825,392,2,2,http://localhost:8080/api/events,97,0,0
1752961661453,96,Get User Info,200,OK,Moderate Load Test 1-2,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,96,0,0
1752961661255,388,Get Seat Map By ID,200,OK,Moderate Load Test 1-1,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,388,0,0
1752961661550,101,Get My Bookings,200,OK,Moderate Load Test 1-2,text,true,,6591,397,2,2,http://localhost:8080/api/bookings/my,101,0,0
1752961661651,100,Get Event Details By ID,200,OK,Moderate Load Test 1-2,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,100,0,0
1752961661644,191,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-1,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,191,0,0
1752961661751,99,Get Seat Map By ID,200,OK,Moderate Load Test 1-2,text,true,,3862,431,1,1,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,99,0,0
1752961661850,197,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-2,text,true,,3026,427,1,1,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,197,0,0
1752961662148,377,Login Request,200,OK,Moderate Load Test 1-3,text,true,,1428,242,1,1,http://localhost:8080/api/auth/signin,377,0,1
1752961662525,98,Get All Events,200,OK,Moderate Load Test 1-3,text,true,,2825,392,1,1,http://localhost:8080/api/events,98,0,0
1752961662623,99,Get User Info,200,OK,Moderate Load Test 1-3,text,true,,1210,393,1,1,http://localhost:8080/api/auth/me,99,0,0
1752961662723,101,Get My Bookings,200,OK,Moderate Load Test 1-3,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,101,0,0
1752961662825,100,Get Event Details By ID,200,OK,Moderate Load Test 1-3,text,true,,1899,417,1,1,http://localhost:8080/api/events/68742e8626a419aac9543576,100,0,0
1752961662925,103,Get Seat Map By ID,200,OK,Moderate Load Test 1-3,text,true,,3862,431,1,1,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,103,0,0
1752961663029,194,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-3,text,true,,3026,427,1,1,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,194,0,0
1752961663350,415,Login Request,200,OK,Moderate Load Test 1-4,text,true,,1428,242,1,1,http://localhost:8080/api/auth/signin,415,0,1
1752961663765,99,Get All Events,200,OK,Moderate Load Test 1-4,text,true,,2825,392,1,1,http://localhost:8080/api/events,99,0,0
1752961663864,101,Get User Info,200,OK,Moderate Load Test 1-4,text,true,,1210,393,1,1,http://localhost:8080/api/auth/me,101,0,0
1752961663966,97,Get My Bookings,200,OK,Moderate Load Test 1-4,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,97,0,0
1752961664063,97,Get Event Details By ID,200,OK,Moderate Load Test 1-4,text,true,,1899,417,1,1,http://localhost:8080/api/events/68742e8626a419aac9543576,97,0,0
1752961664161,100,Get Seat Map By ID,200,OK,Moderate Load Test 1-4,text,true,,3862,431,1,1,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,100,0,0
1752961664261,195,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-4,text,true,,3026,427,1,1,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,195,0,0
1752961664549,354,Login Request,200,OK,Moderate Load Test 1-5,text,true,,1428,242,1,1,http://localhost:8080/api/auth/signin,354,0,2
1752961664903,99,Get All Events,200,OK,Moderate Load Test 1-5,text,true,,2825,392,1,1,http://localhost:8080/api/events,99,0,0
1752961665002,101,Get User Info,200,OK,Moderate Load Test 1-5,text,true,,1210,393,1,1,http://localhost:8080/api/auth/me,101,0,0
