timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752962278861,439,Login Request,200,OK,Moderate Load Test 1-1,text,true,,1428,242,1,1,http://localhost:8080/api/auth/signin,439,0,2
1752962279301,319,Get All Events,200,OK,Moderate Load Test 1-1,text,true,,2825,392,1,1,http://localhost:8080/api/events,319,0,0
1752962279620,101,Get User Info,200,OK,Moderate Load Test 1-1,text,true,,1210,393,1,1,http://localhost:8080/api/auth/me,101,0,0
1752962279722,297,Get My Bookings,200,OK,Moderate Load Test 1-1,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,297,0,0
1752962280061,385,Login Request,200,OK,Moderate Load Test 1-2,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,385,0,1
1752962280019,446,Get Event Details By ID,200,OK,Moderate Load Test 1-1,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,446,0,0
1752962280446,289,Get All Events,200,OK,Moderate Load Test 1-2,text,true,,2825,392,2,2,http://localhost:8080/api/events,289,0,0
1752962280465,290,Get Seat Map By ID,200,OK,Moderate Load Test 1-1,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,290,0,0
1752962280736,100,Get User Info,200,OK,Moderate Load Test 1-2,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,100,0,0
1752962280755,201,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-1,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,201,0,0
1752962280836,295,Get My Bookings,200,OK,Moderate Load Test 1-2,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,295,0,0
1752962281131,431,Get Event Details By ID,200,OK,Moderate Load Test 1-2,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,431,0,0
1752962281263,403,Login Request,200,OK,Moderate Load Test 1-3,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,403,0,0
1752962281562,389,Get Seat Map By ID,200,OK,Moderate Load Test 1-2,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,388,0,0
1752962281666,288,Get All Events,200,OK,Moderate Load Test 1-3,text,true,,2825,392,2,2,http://localhost:8080/api/events,288,0,0
1752962281954,107,Get User Info,200,OK,Moderate Load Test 1-3,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,107,0,0
1752962281951,204,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-2,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,204,0,0
1752962282062,287,Get My Bookings,200,OK,Moderate Load Test 1-3,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,287,0,0
1752962282349,415,Get Event Details By ID,200,OK,Moderate Load Test 1-3,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,415,0,0
1752962282461,420,Login Request,200,OK,Moderate Load Test 1-4,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,420,0,2
1752962282764,390,Get Seat Map By ID,200,OK,Moderate Load Test 1-3,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,390,0,0
1752962282881,284,Get All Events,200,OK,Moderate Load Test 1-4,text,true,,2825,392,2,2,http://localhost:8080/api/events,284,0,0
1752962283165,95,Get User Info,200,OK,Moderate Load Test 1-4,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,95,0,0
1752962283154,191,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-3,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,191,0,0
1752962283260,289,Get My Bookings,200,OK,Moderate Load Test 1-4,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,289,0,0
1752962283550,409,Get Event Details By ID,200,OK,Moderate Load Test 1-4,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,409,0,0
1752962283661,394,Login Request,200,OK,Moderate Load Test 1-5,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,394,0,1
1752962284056,283,Get All Events,200,OK,Moderate Load Test 1-5,text,true,,2825,392,2,2,http://localhost:8080/api/events,283,0,0
1752962283959,381,Get Seat Map By ID,200,OK,Moderate Load Test 1-4,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,381,0,0
1752962284339,100,Get User Info,200,OK,Moderate Load Test 1-5,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,100,0,0
1752962284341,191,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-4,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,191,0,0
1752962284439,285,Get My Bookings,200,OK,Moderate Load Test 1-5,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,285,0,0
1752962284724,451,Get Event Details By ID,200,OK,Moderate Load Test 1-5,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,451,0,0
1752962284868,395,Login Request,200,OK,Moderate Load Test 1-6,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,395,0,2
1752962285263,284,Get All Events,200,OK,Moderate Load Test 1-6,text,true,,2825,392,2,2,http://localhost:8080/api/events,284,0,0
1752962285175,375,Get Seat Map By ID,200,OK,Moderate Load Test 1-5,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,375,0,0
1752962285547,105,Get User Info,200,OK,Moderate Load Test 1-6,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,105,0,0
1752962285550,196,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-5,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,195,0,0
1752962285652,295,Get My Bookings,200,OK,Moderate Load Test 1-6,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,295,0,0
1752962285947,416,Get Event Details By ID,200,OK,Moderate Load Test 1-6,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,416,0,0
1752962286061,400,Login Request,200,OK,Moderate Load Test 1-7,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,400,0,1
1752962286461,286,Get All Events,200,OK,Moderate Load Test 1-7,text,true,,2825,392,2,2,http://localhost:8080/api/events,286,0,0
1752962286364,384,Get Seat Map By ID,200,OK,Moderate Load Test 1-6,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,384,0,0
1752962286747,102,Get User Info,200,OK,Moderate Load Test 1-7,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,102,0,0
1752962286749,192,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-6,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,192,0,0
